,product,number,transactions,wish,review
171,Nike x Off-White Dunk Low The 50 - Lot 20,39141,99,931,13
172,(W) Nike Dunk Low Barely Green,34690,806,"3,536",73
173,(TD) Nike Dunk Low University Blue,33801,604,286,49
174,Nike x Verdy SB Dunk Low Pro Wasted Youth (Special Box),32833,22,128,7
175,Nike SB Dunk Low Pro Wheat,26451,273,847,30
176,(TD) Nike Dunk Low SP Ceramic,23593,183,197,30
177,Nike SB Dunk Low Safari,47511,193,444,61
178,(GS) Nike Dunk Low SE Next Nature Sequoia Olive,30585,9,41,2
179,(TD) Nike Dunk Low SP City Market,27473,159,161,27
180,(TD) Nike x Sean Cliver SB Dunk Low Holiday Special,26423,92,82,11
181,Nike SB Dunk Low Pro Midnight Navy,21998,132,277,17
182,Nike x Supreme SB Dunk Low Jewel Swoosh Gold,44791,46,205,12
183,(W) Nike Dunk Low White Green,43856,7,585,3
184,(TD) Nike x Social Status Dunk Low Free Lunch Strawberry Milk,31276,17,45,8
185,(W) Nike Dunk Low Disrupt Sea Glass,25302,250,835,25
186,(TD) Nike Dunk Low SP Samba 2020,24221,178,128,41
187,(W) Nike x Comme des Garcons Dunk Low Black,21995,116,739,6
188,Nike x Supreme SB Dunk Low Jewel Swoosh Silver,37685,103,566,41
189,(PS) Nike Dunk Low SE Sail Multi Camo,23829,60,123,7
190,Nike SB Dunk Low Pro Blue Fury,44275,211,383,13
191,(GS) Nike x NBA Dunk Low Spurs,43683,,44,1
192,(W) Nike Dunk Low Disrupt Multi-Color,43630,32,393,4
193,(TD) Nike x NBA Dunk Low Chicago,40810,46,82,8
194,Nike SB Dunk Low Pro Fog,39171,1,137,1
195,Nike SB Dunk Low Pro Hennessy,46121,231,986,37
196,Nike SB Dunk Low Truck It,35648,67,393,27
197,Nike SB Dunk Low Premium White Game Royal,23828,42,632,17
198,Nike Dunk SB Low Sea Crystal,23448,44,960,33
199,(TD) Nike x Social Status Dunk Low Free Lunch Chocolate Milk,21370,13,42,3
200,Nike x Off-White Dunk Low The 50 - Lot 47,7928,48,410,20
201,(GS) Nike Dunk Low Retro Championship Red,41269,33,416,6
202,Nike Dunk Low Rooted In Peace,34688,79,425,19
203,(W) Nike Dunk Low Disrupt Summit White Ghost,31575,208,"1,241",3
204,Nike Dunk Low Retro Firecracker,28976,30,153,8
205,Nike x Instant Skateboards SB Dunk Low Pro,25651,49,269,15
206,Nike x Parra SB Dunk Low,38141,54,667,8
207,Nike Dunk Low NY vs NY,39153,11,168,2
208,(W) Nike Dunk Low Next Nature Black,38186,10,307,2
209,Nike x Off-White Dunk Low The 50 - Lot 29,36118,8,177,4
